Number: 1  Squared: 1
Number: 2  Squared: 4
Number: 3  Squared: 9
Number: 4  Squared: 16
Number: 5  Squared: 25
Number: 6  Squared: 36
Number: 7  Squared: 49
Number: 8  Squared: 64
Number: 9  Squared: 81
Number: 10  Squared: 100
Number: 11  Squared: 121
Number: 12  Squared: 144
Number: 13  Squared: 169
Number: 14  Squared: 196
Number: 15  Squared: 225
Number: 16  Squared: 256
Number: 17  Squared: 289
Number: 18  Squared: 324
Number: 19  Squared: 361
Number: 20  Squared: 400
Number: 21  Squared: 441
Number: 22  Squared: 484
Number: 23  Squared: 529
Number: 24  Squared: 576
Number: 25  Squared: 625
Number: 26  Squared: 676
Number: 27  Squared: 729
Number: 28  Squared: 784
Number: 29  Squared: 841
Number: 30  Squared: 900
Number: 31  Squared: 961
Number: 32  Squared: 1024
Number: 33  Squared: 1089
